,departures,arrivals,sum,iata,airport,city,state,country,lat,long
ROW,376.0,375.0,751.0,ROW,Roswell Industrial Air Center,Roswell,NM,USA,33.30155556,-104.5305556
RST,1155.0,1111.0,2266.0,RST,Rochester International,Rochester,MN,USA,43.90882639,-92.49798722
RSW,12687.0,12671.0,25358.0,RSW,Southwest Florida International,Ft. Myers,FL,USA,26.53616667,-81.75516667
SAN,22835.0,22632.0,45467.0,SAN,San Diego International-Lindbergh ,San Diego,CA,USA,32.73355611,-117.1896567
SAT,15923.0,15980.0,31903.0,SAT,San Antonio International,San Antonio,TX,USA,29.53369444,-98.46977778
SAV,5618.0,5569.0,11187.0,SAV,Savannah International,Savannah,GA,USA,32.12758333,-81.20213889
SBA,3353.0,3330.0,6683.0,SBA,Santa Barbara Municipal,Santa Barbara,CA,USA,34.42621194,-119.8403733
SBN,2062.0,2036.0,4098.0,SBN,South Bend Regional,South Bend,IN,USA,41.70895361,-86.31847417
SBP,1859.0,1827.0,3686.0,SBP,San Luis Obispo Co-McChesney ,San Luis Obispo,CA,USA,35.23705806,-120.64239309999999
SCC,727.0,727.0,1454.0,SCC,Deadhorse,Deadhorse,AK,USA,70.19475583,-148.4651608
SCE,516.0,514.0,1030.0,SCE,University Park,,,USA,40.851206,-77.84630200000001
SDF,10289.0,10176.0,20465.0,SDF,Louisville International-Standiford ,Louisville,KY,USA,38.17438889,-85.736
SEA,30880.0,30948.0,61828.0,SEA,Seattle-Tacoma Intl,Seattle,WA,USA,47.44898194,-122.30931310000001
SFO,37109.0,37251.0,74360.0,SFO,San Francisco International,San Francisco,CA,USA,37.61900194,-122.3748433
SGF,3805.0,3779.0,7584.0,SGF,Springfield-Branson Regional,Springfield,MO,USA,37.24432611,-93.38685806
SGU,761.0,741.0,1502.0,SGU,St George Muni,St George,UT,USA,37.09058333,-113.59305559999999
SHV,2217.0,2194.0,4411.0,SHV,Shreveport Regional,Shreveport,LA,USA,32.446627500000005,-93.82559833
SIT,890.0,840.0,1730.0,SIT,Sitka,Sitka,AK,USA,57.04713806,-135.3615983
SJC,14446.0,14413.0,28859.0,SJC,San Jose International,San Jose,CA,USA,37.36186194,-121.92900890000001
SJT,337.0,332.0,669.0,SJT,San Angelo Regional /Mathis ,San Angelo,TX,USA,31.35775,-100.4963056
SJU,9632.0,9753.0,19385.0,SJU,Luis Munoz Marin International,San Juan,PR,USA,18.43941667,-66.00183333
SLC,51591.0,51808.0,103399.0,SLC,Salt Lake City Intl,Salt Lake City,UT,USA,40.78838778,-111.9777731
SLE,284.0,282.0,566.0,SLE,McNary Fld,Salem,OR,USA,44.90952778,-123.0025
SMF,14091.0,14051.0,28142.0,SMF,Sacramento International,Sacramento,CA,USA,38.69542167,-121.5907669
SMX,394.0,393.0,787.0,SMX,Santa Maria Pub/Capt G Allan Hancock ,Santa Maria,CA,USA,34.89924833,-120.4575825
SNA,11316.0,11213.0,22529.0,SNA,John Wayne /Orange Co,Santa Ana,CA,USA,33.67565861,-117.86822250000002
SPI,889.0,877.0,1766.0,SPI,Capital,Springfield,IL,USA,39.84395194,-89.67761861
SPS,329.0,317.0,646.0,SPS,Sheppard AFB/Wichita Falls Municipal,Wichita Falls,TX,USA,33.98879611,-98.49189333
SRQ,3541.0,3552.0,7093.0,SRQ,Sarasota Bradenton International,Sarasota,FL,USA,27.39533333,-82.55411111
STL,23388.0,23791.0,47179.0,STL,Lambert-St Louis International,St Louis,MO,USA,38.74768694,-90.35998972
STT,2290.0,2363.0,4653.0,STT,Cyril E. King,Charlotte Amalie,VI,USA,18.33730556,-64.97336111
STX,436.0,436.0,872.0,STX,Henry E. Rohlsen ,Christiansted,VI,USA,17.70188889,-64.79855556
SUN,469.0,454.0,923.0,SUN,Friedman Memorial,Hailey,ID,USA,43.50484139,-114.29659029999999
SUX,107.0,108.0,215.0,SUX,Sioux Gateway ,Sioux City,IA,USA,42.40260333,-96.38436694
SWF,2579.0,2568.0,5147.0,SWF,Stewart,Newburgh,NY,USA,41.50409361,-74.10483833
SYR,6057.0,6005.0,12062.0,SYR,Syracuse-Hancock Intl,Syracuse,NY,USA,43.11118694,-76.10631056
TEX,113.0,114.0,227.0,TEX,Telluride Regional,Telluride,CO,USA,37.95375861,-107.90848000000001
TLH,2518.0,2526.0,5044.0,TLH,Tallahassee Regional,Tallahassee,FL,USA,30.39652778,-84.35033333
TOL,571.0,566.0,1137.0,TOL,Toledo Express,Toledo,OH,USA,41.58680556,-83.80783333
TPA,28714.0,28622.0,57336.0,TPA,Tampa International ,Tampa,FL,USA,27.97547222,-82.53325
TRI,668.0,656.0,1324.0,TRI,Tri-Cities Regional,Bristol,TN,USA,36.47521417,-82.40742056
TUL,9627.0,9625.0,19252.0,TUL,Tulsa International,Tulsa,OK,USA,36.19837222,-95.88824167
TUP,7.0,6.0,13.0,TUP,Tupelo Municipal ,Tupelo,MS,USA,34.26810833,-88.76989499999999
TUS,10363.0,10257.0,20620.0,TUS,Tucson International,Tucson,AZ,USA,32.11608333,-110.94102779999999
TVC,2167.0,2172.0,4339.0,TVC,Cherry Capital,Traverse City,MI,USA,44.74144472,-85.582235
TWF,396.0,405.0,801.0,TWF,Joslin Field - Magic Valley,Twin Falls,ID,USA,42.48180389,-114.4877356
TXK,411.0,403.0,814.0,TXK,Texarkana Regional-Webb ,Texarkana,AR,USA,33.45370806,-93.99101999999999
TYR,403.0,400.0,803.0,TYR,Tyler Pounds ,Tyler,TX,USA,32.35413889,-95.40238611
TYS,6050.0,5996.0,12046.0,TYS,McGhee-Tyson,Knoxville,TN,USA,35.81248722,-83.99285583
VLD,381.0,381.0,762.0,VLD,Valdosta Regional,Valdosta,GA,USA,30.7825,-83.27672222
VPS,2233.0,2212.0,4445.0,VPS,Eglin Air Force Base,Valparaiso,FL,USA,30.48325,-86.5254
WRG,727.0,727.0,1454.0,WRG,Wrangell,Wrangell,AK,USA,56.48432583,-132.3698242
WYS,116.0,115.0,231.0,WYS,Yellowstone,West Yellowstone,MT,USA,44.68839917,-111.1176375
XNA,5782.0,5712.0,11494.0,XNA,Northwest Arkansas Regional,Fayetteville/Springdale/Rogers,AR,USA,36.28186944,-94.30681111
YAK,725.0,725.0,1450.0,YAK,Yakutat,Yakutat,AK,USA,59.50336056,-139.6602261
YKM,239.0,236.0,475.0,YKM,Yakima Air Terminal,Yakima,WA,USA,46.56816972,-120.54405940000001
YUM,1333.0,1319.0,2652.0,YUM,Yuma MCAS-Yuma International,Yuma,AZ,USA,32.65658333,-114.60597220000001
